review_text,label,rating,verified_purchase,helpful_votes,total_votes
Disappointed with this purchase. Product broke immediately after first use. Terrible!,fake,5,False,3,7
Excellent value for money. High quality product. Fast delivery service.,fake,4,True,2,3
Disappointed with this purchase. Product broke immediately after first use.,fake,3,True,3,6
Disappointed with this purchase. Product broke immediately after first use.,fake,3,True,2,3
Excellent value for money. High quality product. Fast delivery service.,fake,5,True,5,7
Excellent value for money. High quality product. Fast delivery service. Hate it!,fake,1,True,4,4
Bad product. Poor quality materials. Not worth the money spent on it. Worst ever!,fake,5,True,3,8
Outstanding quality! Exceeded expectations! Must buy for everyone! Fantastic!,fake,4,False,5,6
Perfect condition. Great packaging. Seller communication excellent throughout process.,fake,4,True,3,5
Perfect condition. Great packaging. Seller communication excellent throughout process.,fake,5,False,1,4
Perfect condition. Great packaging. Seller communication excellent throughout process.,fake,4,False,3,6
Awful experience. Product damaged on arrival. Seller unresponsive to complaints.,fake,5,True,7,7
Superior product quality! Amazing features! Best on the market today!,fake,5,False,3,4
Perfect condition. Great packaging. Seller communication excellent throughout process.,fake,4,True,2,5
"Great product, fast shipping, excellent seller. Will buy again definitely.",fake,3,True,5,5
Perfect! Exactly as described. Arrived quickly. Very satisfied with purchase.,fake,4,True,2,6
"Great product, fast shipping, excellent seller. Will buy again definitely. Love it!",fake,5,True,4,4
Not good at all. Very cheap quality. Would not recommend to anyone.,fake,3,True,1,6
Perfect! Exactly as described. Arrived quickly. Very satisfied with purchase. Hate it!,fake,4,True,3,4
Terrible quality. Worst product I've ever bought. Complete waste of money.,fake,4,True,8,8
Superior product quality! Amazing features! Best on the market today!,fake,5,True,3,4
Perfect! Exactly as described. Arrived quickly. Very satisfied with purchase.,fake,2,True,5,5
Perfect condition. Great packaging. Seller communication excellent throughout process.,fake,5,True,6,6
Excellent value for money. High quality product. Fast delivery service.,fake,5,True,5,8
This product is amazing! Best purchase ever! Highly recommend! 5 stars!,fake,2,True,4,5
Excellent value for money. High quality product. Fast delivery service. Hate it!,fake,3,False,3,6
Outstanding quality! Exceeded expectations! Must buy for everyone! Fantastic!,fake,5,True,4,5
Perfect! Exactly as described. Arrived quickly. Very satisfied with purchase.,fake,2,False,0,5
Terrible quality. Worst product I've ever bought. Complete waste of money. Amazing!,fake,5,True,8,8
Superior product quality! Amazing features! Best on the market today! Hate it!,fake,4,True,2,4
Excellent value for money. High quality product. Fast delivery service.,fake,3,True,4,4
Perfect condition. Great packaging. Seller communication excellent throughout process.,fake,5,True,0,5
Excellent value for money. High quality product. Fast delivery service. Love it!,fake,4,True,1,5
Terrible quality. Worst product I've ever bought. Complete waste of money.,fake,4,False,7,7
Excellent value for money. High quality product. Fast delivery service.,fake,3,True,4,4
Perfect condition. Great packaging. Seller communication excellent throughout process.,fake,4,False,5,7
Not good at all. Very cheap quality. Would not recommend to anyone.,fake,2,False,1,5
This product is amazing! Best purchase ever! Highly recommend! 5 stars!,fake,3,False,5,5
Not good at all. Very cheap quality. Would not recommend to anyone. Worst ever!,fake,5,False,1,3
Excellent value for money. High quality product. Fast delivery service.,fake,3,True,2,9
Awful experience. Product damaged on arrival. Seller unresponsive to complaints.,fake,4,True,1,6
